"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2014年度","兵庫県 宝塚市","","1,804","1,909","948","374"
"2014年度","兵庫県 三木市","","498","837","311","132"
"2014年度","兵庫県 高砂市","","684","893","446","145"
"2014年度","兵庫県 川西市","","1,109","1,394","588","252"
"2014年度","兵庫県 小野市","","372","490","209","86"
"2014年度","兵庫県 三田市","","807","764","417","135"
"2014年度","兵庫県 加西市","","276","561","175","62"
"2014年度","兵庫県 篠山市","","317","566","154","67"
"2014年度","兵庫県 養父市","","140","414","87","37"
"2014年度","兵庫県 丹波市","","494","911","285","91"
"2014年度","兵庫県 南あわじ市","","349","644","209","61"
"2014年度","兵庫県 朝来市","","237","465","131","58"
"2014年度","兵庫県 淡路市","","282","755","165","60"
"2014年度","兵庫県 宍粟市","","240","563","142","62"
"2014年度","兵庫県 加東市","","298","405","205","59"
"2014年度","兵庫県 たつの市","","579","924","325","129"
"2014年度","兵庫県 猪名川町","","182","253","79","44"
"2014年度","兵庫県 多可町","","116","283","82","28"
"2014年度","兵庫県 稲美町","","220","331","111","45"
"2014年度","兵庫県 播磨町","","282","256","142","60"
"2014年度","兵庫県 市川町","","62","167","40","15"
"2014年度","兵庫県 福崎町","","161","173","90","22"
"2014年度","兵庫県 神河町","","45","173","37","10"
"2014年度","兵庫県 太子町","","323","270","146","66"
"2014年度","兵庫県 上郡町","","83","194","47","17"
"2014年度","兵庫県 佐用町","","105","292","59","17"
"2014年度","兵庫県 香美町","","116","293","62","13"
"2014年度","兵庫県 新温泉町","","82","227","52","18"
"2013年度","兵庫県 神戸市 東灘区","","1,933","1,612","1,112","398"
"2013年度","兵庫県 神戸市 灘区","","1,178","1,222","761","226"
"2013年度","兵庫県 神戸市 兵庫区","","810","1,490","719","253"
"2013年度","兵庫県 神戸市 長田区","","581","1,319","514","211"
"2013年度","兵庫県 神戸市 須磨区","","1,198","1,602","775","285"
"2013年度","兵庫県 神戸市 垂水区","","1,885","2,327","1,108","414"
"2013年度","兵庫県 神戸市 北区","","1,559","2,011","857","395"
"2013年度","兵庫県 神戸市 中央区","","1,044","1,209","1,024","311"
"2013年度","兵庫県 神戸市 西区","","2,025","1,949","1,132","445"
"2013年度","兵庫県 姫路市","","4,820","5,107","2,935","1,082"
"2013年度","兵庫県 尼崎市","","4,066","4,541","2,888","1,009"
