"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"1998年度","兵庫県 神戸市 東灘区","","1,842","1,145","1,731","386"
"1998年度","兵庫県 神戸市 灘区","","921","893","872","222"
"1998年度","兵庫県 神戸市 兵庫区","","827","1,156","775","257"
"1998年度","兵庫県 神戸市 長田区","","793","1,082","642","270"
"1998年度","兵庫県 神戸市 須磨区","","1,450","1,189","970","333"
"1998年度","兵庫県 神戸市 垂水区","","2,181","1,518","1,440","475"
"1998年度","兵庫県 神戸市 北区","","1,967","1,465","1,112","439"
"1998年度","兵庫県 神戸市 中央区","","642","946","695","272"
"1998年度","兵庫県 神戸市 西区","","2,192","1,292","1,262","356"
"1998年度","兵庫県 姫路市","","6,150","3,918","3,812","1,066"
"1998年度","兵庫県 尼崎市","","4,977","3,678","3,550","1,164"
"1998年度","兵庫県 明石市","","3,384","1,921","2,163","729"
"1998年度","兵庫県 西宮市","","4,294","2,577","3,378","790"
"1998年度","兵庫県 洲本市","","500","527","264","73"
"1998年度","兵庫県 芦屋市","","714","567","603","161"
"1998年度","兵庫県 伊丹市","","2,402","1,092","1,526","422"
"1998年度","兵庫県 相生市","","273","350","175","46"
"1998年度","兵庫県 豊岡市","","902","908","463","127"
"1998年度","兵庫県 加古川市","","2,934","1,685","1,734","477"
"1998年度","兵庫県 赤穂市","","523","454","286","83"
"1998年度","兵庫県 西脇市","","456","421","253","57"
"1998年度","兵庫県 宝塚市","","2,226","1,278","1,468","391"
"1998年度","兵庫県 三木市","","646","625","394","148"
"1998年度","兵庫県 高砂市","","1,049","705","593","190"
"1998年度","兵庫県 川西市","","1,314","930","841","255"
"1998年度","兵庫県 小野市","","515","407","289","75"
"1998年度","兵庫県 三田市","","1,074","539","476","141"
"1998年度","兵庫県 加西市","","480","475","285","64"
"1998年度","兵庫県 篠山市","","374","499","209","51"
"1998年度","兵庫県 養父市","","260","337","107","25"
"1998年度","兵庫県 丹波市","","721","835","366","94"
"1998年度","兵庫県 南あわじ市","","480","598","269","95"
"1998年度","兵庫県 朝来市","","347","379","183","37"
"1998年度","兵庫県 淡路市","","440","567","231","69"
"1998年度","兵庫県 宍粟市","","420","488","244","53"
"1998年度","兵庫県 加東市","","476","343","267","41"
"1998年度","兵庫県 たつの市","","761","728","410","115"
"1998年度","兵庫県 猪名川町","","173","161","91","40"
"1998年度","兵庫県 多可町","","226","254","124","11"
"1998年度","兵庫県 稲美町","","251","231","139","32"
"1998年度","兵庫県 播磨町","","391","203","212","65"
"1998年度","兵庫県 市川町","","123","137","77","25"
"1998年度","兵庫県 福崎町","","183","193","96","23"
"1998年度","兵庫県 神河町","","102","143","60","13"
"1998年度","兵庫県 太子町","","387","200","269","71"
"1998年度","兵庫県 上郡町","","161","196","81","29"
"1998年度","兵庫県 佐用町","","159","254","85","20"
"1998年度","兵庫県 香美町","","209","239","86","13"
"1998年度","兵庫県 新温泉町","","149","203","69","13"
"1997年度","兵庫県 神戸市 東灘区","","1,522","1,056","1,519","306"
"1997年度","兵庫県 神戸市 灘区","","832","844","861","205"
"1997年度","兵庫県 神戸市 兵庫区","","779","1,096","737","255"
"1997年度","兵庫県 神戸市 長田区","","742","1,048","647","266"
"1997年度","兵庫県 神戸市 須磨区","","1,492","1,165","1,040","300"
"1997年度","兵庫県 神戸市 垂水区","","2,359","1,507","1,424","423"
"1997年度","兵庫県 神戸市 北区","","2,088","1,454","1,189","403"
"1997年度","兵庫県 神戸市 中央区","","674","916","696","255"
"1997年度","兵庫県 神戸市 西区","","2,206","1,162","1,292","335"
"1997年度","兵庫県 姫路市","","6,060","3,840","3,648","1,012"
"1997年度","兵庫県 尼崎市","","4,893","3,438","3,635","1,038"
"1997年度","兵庫県 明石市","","3,347","1,841","2,145","588"
"1997年度","兵庫県 西宮市","","3,865","2,625","3,204","682"
"1997年度","兵庫県 洲本市","","492","538","283","67"
"1997年度","兵庫県 芦屋市","","627","524","470","126"
"1997年度","兵庫県 伊丹市","","2,404","1,089","1,535","377"
"1997年度","兵庫県 相生市","","313","343","189","42"
"1997年度","兵庫県 豊岡市","","929","877","511","120"
"1997年度","兵庫県 加古川市","","2,808","1,635","1,624","477"
"1997年度","兵庫県 赤穂市","","526","483","307","67"
"1997年度","兵庫県 西脇市","","498","406","286","80"
"1997年度","兵庫県 宝塚市","","2,045","1,265","1,394","336"
"1997年度","兵庫県 三木市","","698","603","408","113"
"1997年度","兵庫県 高砂市","","1,030","700","588","189"
"1997年度","兵庫県 川西市","","1,289","939","811","210"
"1997年度","兵庫県 小野市","","500","358","263","59"
"1997年度","兵庫県 三田市","","1,181","476","472","133"
"1997年度","兵庫県 加西市","","491","472","274","68"
"1997年度","兵庫県 篠山市","","366","463","203","58"
"1997年度","兵庫県 養父市","","277","319","110","14"
"1997年度","兵庫県 丹波市","","722","827","365","96"
"1997年度","兵庫県 南あわじ市","","514","634","260","89"
"1997年度","兵庫県 朝来市","","325","322","175","44"
"1997年度","兵庫県 淡路市","","403","606","234","53"
"1997年度","兵庫県 宍粟市","","442","546","219","51"
"1997年度","兵庫県 加東市","","448","300","271","40"
"1997年度","兵庫県 たつの市","","742","740","398","128"
"1997年度","兵庫県 猪名川町","","191","155","78","25"
"1997年度","兵庫県 多可町","","240","247","104","16"
"1997年度","兵庫県 稲美町","","214","235","110","41"
"1997年度","兵庫県 播磨町","","368","176","252","59"
"1997年度","兵庫県 市川町","","107","131","70","9"
"1997年度","兵庫県 福崎町","","178","165","88","15"
"1997年度","兵庫県 神河町","","124","157","48","17"
"1997年度","兵庫県 太子町","","337","202","266","45"
"1997年度","兵庫県 上郡町","","134","159","80","29"
"1997年度","兵庫県 佐用町","","173","252","70","17"
"1997年度","兵庫県 香美町","","193","252","87","21"
"1997年度","兵庫県 新温泉町","","168","209","51","14"
"1996年度","兵庫県 神戸市 東灘区","","1,464","1,052","1,161","285"
"1996年度","兵庫県 神戸市 灘区","","837","826","771","189"
"1996年度","兵庫県 神戸市 兵庫区","","700","1,200","660","216"
"1996年度","兵庫県 神戸市 長田区","","736","1,013","670","250"
"1996年度","兵庫県 神戸市 須磨区","","1,477","1,065","925","273"
"1996年度","兵庫県 神戸市 垂水区","","2,416","1,497","1,505","396"
"1996年度","兵庫県 神戸市 北区","","2,125","1,421","1,244","348"
"1996年度","兵庫県 神戸市 中央区","","689","928","684","242"
"1996年度","兵庫県 神戸市 西区","","2,224","1,100","1,228","300"
"1996年度","兵庫県 姫路市","","5,995","3,715","3,869","916"
"1996年度","兵庫県 尼崎市","","4,872","3,443","3,723","993"
"1996年度","兵庫県 明石市","","3,300","1,806","2,309","506"
"1996年度","兵庫県 西宮市","","3,651","2,574","2,980","658"
"1996年度","兵庫県 洲本市","","496","530","287","55"
"1996年度","兵庫県 芦屋市","","653","532","554","122"
"1996年度","兵庫県 伊丹市","","2,431","1,023","1,621","328"
"1996年度","兵庫県 相生市","","334","327","187","47"
"1996年度","兵庫県 豊岡市","","906","840","462","91"
"1996年度","兵庫県 加古川市","","2,889","1,605","1,831","451"
"1996年度","兵庫県 赤穂市","","509","418","306","76"
"1996年度","兵庫県 西脇市","","506","412","272","53"
"1996年度","兵庫県 宝塚市","","2,054","1,208","1,352","278"
"1996年度","兵庫県 三木市","","673","657","429","113"
"1996年度","兵庫県 高砂市","","1,055","596","646","148"
"1996年度","兵庫県 川西市","","1,206","947","859","208"
"1996年度","兵庫県 小野市","","509","379","292","61"
"1996年度","兵庫県 三田市","","1,123","450","539","110"
"1996年度","兵庫県 加西市","","490","432","271","53"
"1996年度","兵庫県 篠山市","","354","480","201","55"
"1996年度","兵庫県 養父市","","265","365","141","19"
"1996年度","兵庫県 丹波市","","690","817","373","77"
"1996年度","兵庫県 南あわじ市","","518","582","287","72"
"1996年度","兵庫県 朝来市","","321","372","184","45"
"1996年度","兵庫県 淡路市","","450","576","260","48"
"1996年度","兵庫県 宍粟市","","414","534","239","43"
"1996年度","兵庫県 加東市","","439","273","221","29"
"1996年度","兵庫県 たつの市","","763","722","424","92"
"1996年度","兵庫県 猪名川町","","204","157","98","29"
"1996年度","兵庫県 多可町","","262","248","109","15"
"1996年度","兵庫県 稲美町","","247","223","148","32"
"1996年度","兵庫県 播磨町","","380","195","255","43"
"1996年度","兵庫県 市川町","","136","140","68","18"
"1996年度","兵庫県 福崎町","","170","164","112","17"
"1996年度","兵庫県 神河町","","122","144","62","13"
"1996年度","兵庫県 太子町","","373","217","235","45"
"1996年度","兵庫県 上郡町","","139","175","100","16"
"1996年度","兵庫県 佐用町","","156","259","100","25"
"1996年度","兵庫県 香美町","","236","263","97","21"
"1996年度","兵庫県 新温泉町","","172","210","76","13"
"1995年度","兵庫県 神戸市 東灘区","","1,502","2,476","1,048","302"
"1995年度","兵庫県 神戸市 灘区","","775","1,845","682","179"
"1995年度","兵庫県 神戸市 兵庫区","","745","1,848","693","219"
"1995年度","兵庫県 神戸市 長田区","","792","2,075","648","183"
"1995年度","兵庫県 神戸市 須磨区","","1,595","1,595","892","276"
"1995年度","兵庫県 神戸市 垂水区","","2,457","1,526","1,461","346"
"1995年度","兵庫県 神戸市 北区","","2,059","1,398","1,241","338"
"1995年度","兵庫県 神戸市 中央区","","654","1,174","677","218"
"1995年度","兵庫県 神戸市 西区","","2,018","1,152","1,135","253"
"1995年度","兵庫県 姫路市","","5,785","3,761","3,790","783"
"1995年度","兵庫県 尼崎市","","5,003","3,559","3,560","878"
"1995年度","兵庫県 明石市","","3,200","1,842","2,122","445"
"1995年度","兵庫県 西宮市","","3,626","3,787","2,427","599"
"1995年度","兵庫県 洲本市","","499","587","330","68"
"1995年度","兵庫県 芦屋市","","593","944","429","108"
"1995年度","兵庫県 伊丹市","","2,306","1,149","1,523","300"
"1995年度","兵庫県 相生市","","291","367","200","39"
"1995年度","兵庫県 豊岡市","","892","941","466","101"
"1995年度","兵庫県 加古川市","","2,729","1,634","1,794","375"
"1995年度","兵庫県 赤穂市","","479","446","289","56"
"1995年度","兵庫県 西脇市","","456","446","254","50"
"1995年度","兵庫県 宝塚市","","2,017","1,391","1,342","277"
"1995年度","兵庫県 三木市","","644","627","420","64"
"1995年度","兵庫県 高砂市","","981","614","642","142"
"1995年度","兵庫県 川西市","","1,076","979","776","185"
"1995年度","兵庫県 小野市","","475","401","293","55"
"1995年度","兵庫県 三田市","","1,061","477","474","86"
"1995年度","兵庫県 加西市","","516","498","270","48"
"1995年度","兵庫県 篠山市","","340","515","186","48"
"1995年度","兵庫県 養父市","","258","333","135","18"
"1995年度","兵庫県 丹波市","","727","824","345","67"
"1995年度","兵庫県 南あわじ市","","529","600","290","63"
"1995年度","兵庫県 朝来市","","328","398","168","42"
"1995年度","兵庫県 淡路市","","406","751","245","47"
"1995年度","兵庫県 宍粟市","","439","540","222","47"
"1995年度","兵庫県 加東市","","429","333","240","44"
"1995年度","兵庫県 たつの市","","747","691","427","107"
"1995年度","兵庫県 猪名川町","","201","138","94","27"
"1995年度","兵庫県 多可町","","255","292","127","26"
"1995年度","兵庫県 稲美町","","201","250","108","26"
"1995年度","兵庫県 播磨町","","368","180","209","48"
"1995年度","兵庫県 市川町","","103","169","91","11"
"1995年度","兵庫県 福崎町","","159","176","78","12"
"1995年度","兵庫県 神河町","","128","151","58","11"
"1995年度","兵庫県 太子町","","328","197","218","36"
"1995年度","兵庫県 上郡町","","164","178","87","20"
"1995年度","兵庫県 佐用町","","191","310","92","14"
"1995年度","兵庫県 香美町","","235","243","104","19"
"1995年度","兵庫県 新温泉町","","185","236","90","9"
"1994年度","兵庫県 神戸市 東灘区","","***","1,206","1,294","321"
"1994年度","兵庫県 神戸市 灘区","","***","1,034","776","224"
"1994年度","兵庫県 神戸市 兵庫区","","***","1,332","662","241"
"1994年度","兵庫県 神戸市 長田区","","***","1,345","714","280"
"1994年度","兵庫県 神戸市 須磨区","","***","1,157","1,082","311"
"1994年度","兵庫県 神戸市 垂水区","","***","1,345","1,726","426"
"1994年度","兵庫県 神戸市 北区","","***","1,256","1,359","331"
"1994年度","兵庫県 神戸市 中央区","","***","995","737","273"
"1994年度","兵庫県 神戸市 西区","","***","939","1,202","293"
"1994年度","兵庫県 姫路市","","***","3,659","3,556","837"
"1994年度","兵庫県 尼崎市","","***","3,510","3,756","1,019"
"1994年度","兵庫県 明石市","","***","1,819","2,115","506"
"1994年度","兵庫県 西宮市","","***","2,721","2,903","657"
"1994年度","兵庫県 洲本市","","***","518","300","72"
"1994年度","兵庫県 芦屋市","","***","575","503","130"
"1994年度","兵庫県 伊丹市","","***","1,059","1,647","332"
"1994年度","兵庫県 相生市","","***","319","190","41"
"1994年度","兵庫県 豊岡市","","***","868","494","93"
"1994年度","兵庫県 加古川市","","***","1,524","1,702","399"
"1994年度","兵庫県 赤穂市","","***","405","268","48"
"1994年度","兵庫県 西脇市","","***","435","293","65"
"1994年度","兵庫県 宝塚市","","***","1,190","1,489","305"
"1994年度","兵庫県 三木市","","***","611","369","99"
"1994年度","兵庫県 高砂市","","***","554","632","166"
"1994年度","兵庫県 川西市","","***","842","779","194"
"1994年度","兵庫県 小野市","","***","375","250","56"
"1994年度","兵庫県 三田市","","***","454","439","91"
"1994年度","兵庫県 加西市","","***","413","295","44"
"1994年度","兵庫県 篠山市","","***","474","197","45"
"1994年度","兵庫県 養父市","","***","323","144","27"
"1994年度","兵庫県 丹波市","","***","828","356","79"
"1994年度","兵庫県 南あわじ市","","***","576","272","52"
"1994年度","兵庫県 朝来市","","***","365","159","49"
"1994年度","兵庫県 淡路市","","***","661","213","54"
"1994年度","兵庫県 宍粟市","","***","508","227","50"
"1994年度","兵庫県 加東市","","***","302","224","41"
"1994年度","兵庫県 たつの市","","***","689","414","79"
"1994年度","兵庫県 猪名川町","","***","131","95","29"
"1994年度","兵庫県 多可町","","***","258","124","20"
"1994年度","兵庫県 稲美町","","***","225","108","36"
"1994年度","兵庫県 播磨町","","***","190","237","52"
"1994年度","兵庫県 市川町","","***","114","66","15"
"1994年度","兵庫県 福崎町","","***","177","94","17"
"1994年度","兵庫県 神河町","","***","134","68","9"
"1994年度","兵庫県 太子町","","***","167","168","33"
"1994年度","兵庫県 上郡町","","***","179","75","16"
"1994年度","兵庫県 佐用町","","***","284","101","20"
"1994年度","兵庫県 香美町","","***","241","93","17"
"1994年度","兵庫県 新温泉町","","***","198","84","12"
"1993年度","兵庫県 神戸市 東灘区","","***","1,156","1,307","326"
"1993年度","兵庫県 神戸市 灘区","","***","1,097","771","228"
"1993年度","兵庫県 神戸市 兵庫区","","***","1,386","727","241"
"1993年度","兵庫県 神戸市 長田区","","***","1,349","775","264"
"1993年度","兵庫県 神戸市 須磨区","","***","1,093","1,006","285"
"1993年度","兵庫県 神戸市 垂水区","","***","1,389","1,729","399"
"1993年度","兵庫県 神戸市 北区","","***","1,244","1,219","340"
"1993年度","兵庫県 神戸市 中央区","","***","978","767","268"
"1993年度","兵庫県 神戸市 西区","","***","934","1,142","230"
"1993年度","兵庫県 姫路市","","***","3,727","3,639","743"
"1993年度","兵庫県 尼崎市","","***","3,551","3,932","927"
"1993年度","兵庫県 明石市","","***","1,766","2,127","514"
"1993年度","兵庫県 西宮市","","***","2,614","2,913","649"
"1993年度","兵庫県 洲本市","","***","564","288","68"
"1993年度","兵庫県 芦屋市","","***","596","608","160"
"1993年度","兵庫県 伊丹市","","***","1,048","1,669","333"
"1993年度","兵庫県 相生市","","***","356","197","48"
"1993年度","兵庫県 豊岡市","","***","848","498","93"
"1993年度","兵庫県 加古川市","","***","1,597","1,668","410"
"1993年度","兵庫県 赤穂市","","***","452","266","55"
"1993年度","兵庫県 西脇市","","***","399","272","69"
"1993年度","兵庫県 宝塚市","","***","1,180","1,443","269"
"1993年度","兵庫県 三木市","","***","600","368","83"
"1993年度","兵庫県 高砂市","","***","600","624","142"
"1993年度","兵庫県 川西市","","***","844","757","150"
"1993年度","兵庫県 小野市","","***","358","262","54"
"1993年度","兵庫県 三田市","","***","407","436","93"
"1993年度","兵庫県 加西市","","***","470","253","42"
"1993年度","兵庫県 篠山市","","***","438","189","32"
"1993年度","兵庫県 養父市","","***","321","133","20"
"1993年度","兵庫県 丹波市","","***","794","362","63"
"1993年度","兵庫県 南あわじ市","","***","587","328","64"
"1993年度","兵庫県 朝来市","","***","369","178","39"
"1993年度","兵庫県 淡路市","","***","641","235","41"
"1993年度","兵庫県 宍粟市","","***","503","240","35"
"1993年度","兵庫県 加東市","","***","301","263","42"
"1993年度","兵庫県 たつの市","","***","726","404","91"
"1993年度","兵庫県 猪名川町","","***","129","99","23"
"1993年度","兵庫県 多可町","","***","290","142","18"
"1993年度","兵庫県 稲美町","","***","222","112","31"
"1993年度","兵庫県 播磨町","","***","199","240","57"
"1993年度","兵庫県 市川町","","***","141","71","9"
"1993年度","兵庫県 福崎町","","***","192","76","19"
"1993年度","兵庫県 神河町","","***","151","67","7"
"1993年度","兵庫県 太子町","","***","191","188","36"
"1993年度","兵庫県 上郡町","","***","153","87","20"
"1993年度","兵庫県 佐用町","","***","301","93","16"
"1993年度","兵庫県 香美町","","***","237","104","8"
"1993年度","兵庫県 新温泉町","","***","186","76","3"
"1992年度","兵庫県 神戸市 東灘区","","***","1,156","1,300","265"
"1992年度","兵庫県 神戸市 灘区","","***","1,097","843","266"
"1992年度","兵庫県 神戸市 兵庫区","","***","1,334","723","217"
"1992年度","兵庫県 神戸市 長田区","","***","1,396","758","271"
"1992年度","兵庫県 神戸市 須磨区","","***","1,103","934","266"
"1992年度","兵庫県 神戸市 垂水区","","***","1,310","1,730","446"
"1992年度","兵庫県 神戸市 北区","","***","1,171","1,027","321"
"1992年度","兵庫県 神戸市 中央区","","***","945","700","282"
"1992年度","兵庫県 神戸市 西区","","***","937","976","228"
"1992年度","兵庫県 姫路市","","***","3,569","3,260","731"
"1992年度","兵庫県 尼崎市","","***","3,421","3,601","920"
"1992年度","兵庫県 明石市","","***","1,706","1,975","500"
"1992年度","兵庫県 西宮市","","***","2,539","2,770","603"
"1992年度","兵庫県 洲本市","","***","500","247","68"
"1992年度","兵庫県 芦屋市","","***","592","577","133"
"1992年度","兵庫県 伊丹市","","***","957","1,456","308"
"1992年度","兵庫県 相生市","","***","340","187","42"
"1992年度","兵庫県 豊岡市","","***","882","445","90"
"1992年度","兵庫県 加古川市","","***","1,490","1,587","364"
"1992年度","兵庫県 赤穂市","","***","403","229","37"
"1992年度","兵庫県 西脇市","","***","372","261","48"
"1992年度","兵庫県 宝塚市","","***","1,148","1,351","302"
"1992年度","兵庫県 三木市","","***","570","341","84"
"1992年度","兵庫県 高砂市","","***","600","577","125"
"1992年度","兵庫県 川西市","","***","828","719","172"
"1992年度","兵庫県 小野市","","***","372","254","64"
"1992年度","兵庫県 三田市","","***","409","408","74"
"1992年度","兵庫県 加西市","","***","433","253","42"
"1992年度","兵庫県 篠山市","","***","470","179","30"
"1992年度","兵庫県 養父市","","***","277","141","19"
"1992年度","兵庫県 丹波市","","***","854","379","53"
"1992年度","兵庫県 南あわじ市","","***","543","253","47"
"1992年度","兵庫県 朝来市","","***","351","170","33"
"1992年度","兵庫県 淡路市","","***","608","229","29"
"1992年度","兵庫県 宍粟市","","***","488","220","32"
"1992年度","兵庫県 加東市","","***","354","223","37"
"1992年度","兵庫県 たつの市","","***","684","395","77"
"1992年度","兵庫県 猪名川町","","***","132","94","18"
"1992年度","兵庫県 多可町","","***","235","124","14"
"1992年度","兵庫県 稲美町","","***","199","113","29"
"1992年度","兵庫県 播磨町","","***","156","167","49"
"1992年度","兵庫県 市川町","","***","144","75","13"
"1992年度","兵庫県 福崎町","","***","179","84","23"
"1992年度","兵庫県 神河町","","***","135","68","7"
"1992年度","兵庫県 太子町","","***","227","206","39"
"1992年度","兵庫県 上郡町","","***","171","72","14"
"1992年度","兵庫県 佐用町","","***","261","111","18"
"1992年度","兵庫県 香美町","","***","247","116","8"
"1992年度","兵庫県 新温泉町","","***","207","97","9"
"1991年度","兵庫県 神戸市 東灘区","","***","1,151","1,359","283"
"1991年度","兵庫県 神戸市 灘区","","***","952","779","192"
"1991年度","兵庫県 神戸市 兵庫区","","***","1,334","705","231"
"1991年度","兵庫県 神戸市 長田区","","***","1,376","733","220"
"1991年度","兵庫県 神戸市 須磨区","","***","1,155","949","280"
"1991年度","兵庫県 神戸市 垂水区","","***","1,303","1,590","388"
"1991年度","兵庫県 神戸市 北区","","***","1,147","1,018","268"
"1991年度","兵庫県 神戸市 中央区","","***","979","778","243"
"1991年度","兵庫県 神戸市 西区","","***","852","926","180"
"1991年度","兵庫県 姫路市","","***","3,575","3,374","683"
"1991年度","兵庫県 尼崎市","","***","3,375","3,654","879"
"1991年度","兵庫県 明石市","","***","1,715","1,905","440"
"1991年度","兵庫県 西宮市","","***","2,455","2,780","599"
"1991年度","兵庫県 洲本市","","***","555","274","67"
"1991年度","兵庫県 芦屋市","","***","538","570","133"
"1991年度","兵庫県 伊丹市","","***","957","1,353","257"
"1991年度","兵庫県 相生市","","***","321","181","36"
"1991年度","兵庫県 豊岡市","","***","838","438","73"
"1991年度","兵庫県 加古川市","","***","1,385","1,493","338"
"1991年度","兵庫県 赤穂市","","***","406","261","42"
"1991年度","兵庫県 西脇市","","***","382","229","46"
"1991年度","兵庫県 宝塚市","","***","1,113","1,358","233"
"1991年度","兵庫県 三木市","","***","578","312","89"
"1991年度","兵庫県 高砂市","","***","597","578","139"
"1991年度","兵庫県 川西市","","***","732","575","139"
"1991年度","兵庫県 小野市","","***","323","212","51"
"1991年度","兵庫県 三田市","","***","371","349","56"
"1991年度","兵庫県 加西市","","***","445","223","54"
"1991年度","兵庫県 篠山市","","***","456","166","31"
"1991年度","兵庫県 養父市","","***","321","127","20"
"1991年度","兵庫県 丹波市","","***","784","340","54"
"1991年度","兵庫県 南あわじ市","","***","617","279","51"
"1991年度","兵庫県 朝来市","","***","355","154","31"
"1991年度","兵庫県 淡路市","","***","626","246","42"
"1991年度","兵庫県 宍粟市","","***","515","192","25"
"1991年度","兵庫県 加東市","","***","315","222","41"
"1991年度","兵庫県 たつの市","","***","680","351","92"
"1991年度","兵庫県 猪名川町","","***","116","79","19"
"1991年度","兵庫県 多可町","","***","221","115","16"
"1991年度","兵庫県 稲美町","","***","201","95","26"
"1991年度","兵庫県 播磨町","","***","166","228","44"
"1991年度","兵庫県 市川町","","***","130","54","12"
"1991年度","兵庫県 福崎町","","***","184","82","19"
"1991年度","兵庫県 神河町","","***","152","71","4"
"1991年度","兵庫県 太子町","","***","184","136","45"
"1991年度","兵庫県 上郡町","","***","160","64","10"
"1991年度","兵庫県 佐用町","","***","250","100","11"
"1991年度","兵庫県 香美町","","***","257","110","11"
"1991年度","兵庫県 新温泉町","","***","167","82","8"
"1990年度","兵庫県 神戸市 東灘区","","***","1,128","1,257","264"
"1990年度","兵庫県 神戸市 灘区","","***","1,071","820","187"
"1990年度","兵庫県 神戸市 兵庫区","","***","1,291","682","180"
"1990年度","兵庫県 神戸市 長田区","","***","1,379","708","235"
"1990年度","兵庫県 神戸市 須磨区","","***","1,030","916","249"
"1990年度","兵庫県 神戸市 垂水区","","***","1,316","1,616","336"
"1990年度","兵庫県 神戸市 北区","","***","1,048","955","269"
"1990年度","兵庫県 神戸市 中央区","","***","910","740","213"
"1990年度","兵庫県 神戸市 西区","","***","823","833","183"
"1990年度","兵庫県 姫路市","","***","3,435","3,103","696"
"1990年度","兵庫県 尼崎市","","***","3,259","3,513","781"
"1990年度","兵庫県 明石市","","***","1,638","1,801","346"
"1990年度","兵庫県 西宮市","","***","2,373","2,902","534"
"1990年度","兵庫県 洲本市","","***","533","262","54"
"1990年度","兵庫県 芦屋市","","***","556","603","134"
"1990年度","兵庫県 伊丹市","","***","942","1,304","230"
"1990年度","兵庫県 相生市","","***","304","158","39"
"1990年度","兵庫県 豊岡市","","***","823","450","80"
"1990年度","兵庫県 加古川市","","***","1,392","1,333","271"
"1990年度","兵庫県 赤穂市","","***","405","253","35"
"1990年度","兵庫県 西脇市","","***","346","228","49"
"1990年度","兵庫県 宝塚市","","***","994","1,339","221"
"1990年度","兵庫県 三木市","","***","581","346","64"
"1990年度","兵庫県 高砂市","","***","561","597","138"
"1990年度","兵庫県 川西市","","***","767","574","156"
"1990年度","兵庫県 小野市","","***","303","217","43"
"1990年度","兵庫県 三田市","","***","394","320","43"
"1990年度","兵庫県 加西市","","***","423","264","43"
"1990年度","兵庫県 篠山市","","***","425","181","24"
"1990年度","兵庫県 養父市","","***","281","109","14"
"1990年度","兵庫県 丹波市","","***","758","330","49"
"1990年度","兵庫県 南あわじ市","","***","547","269","43"
"1990年度","兵庫県 朝来市","","***","392","176","35"
"1990年度","兵庫県 淡路市","","***","627","240","34"
"1990年度","兵庫県 宍粟市","","***","476","219","32"
"1990年度","兵庫県 加東市","","***","292","237","25"
"1990年度","兵庫県 たつの市","","***","670","349","55"
"1990年度","兵庫県 猪名川町","","***","121","78","13"
"1990年度","兵庫県 多可町","","***","242","120","16"
"1990年度","兵庫県 稲美町","","***","228","110","31"
"1990年度","兵庫県 播磨町","","***","148","186","48"
"1990年度","兵庫県 市川町","","***","136","69","10"
"1990年度","兵庫県 福崎町","","***","182","95","15"
"1990年度","兵庫県 神河町","","***","138","72","9"
"1990年度","兵庫県 太子町","","***","184","161","28"
"1990年度","兵庫県 上郡町","","***","169","70","26"
"1990年度","兵庫県 佐用町","","***","260","96","12"
"1990年度","兵庫県 香美町","","***","268","129","11"
"1990年度","兵庫県 新温泉町","","***","218","80","19"
"1989年度","兵庫県 神戸市 東灘区","","***","1,118","1,219","255"
"1989年度","兵庫県 神戸市 灘区","","***","1,010","724","185"
"1989年度","兵庫県 神戸市 兵庫区","","***","1,264","653","253"
"1989年度","兵庫県 神戸市 長田区","","***","1,340","721","224"
"1989年度","兵庫県 神戸市 須磨区","","***","1,080","984","282"
"1989年度","兵庫県 神戸市 垂水区","","***","1,243","1,511","389"
"1989年度","兵庫県 神戸市 北区","","***","985","926","259"
"1989年度","兵庫県 神戸市 中央区","","***","950","769","239"
"1989年度","兵庫県 神戸市 西区","","***","738","746","154"
"1989年度","兵庫県 姫路市","","***","3,406","3,057","687"
"1989年度","兵庫県 尼崎市","","***","3,163","3,470","793"
"1989年度","兵庫県 明石市","","***","1,599","1,744","382"
"1989年度","兵庫県 西宮市","","***","2,403","2,763","518"
"1989年度","兵庫県 洲本市","","***","537","268","56"
"1989年度","兵庫県 芦屋市","","***","537","559","128"
"1989年度","兵庫県 伊丹市","","***","868","1,439","269"
"1989年度","兵庫県 相生市","","***","296","153","36"
"1989年度","兵庫県 豊岡市","","***","784","460","81"
"1989年度","兵庫県 加古川市","","***","1,371","1,224","282"
"1989年度","兵庫県 赤穂市","","***","446","249","40"
"1989年度","兵庫県 西脇市","","***","374","248","33"
"1989年度","兵庫県 宝塚市","","***","1,009","1,220","219"
"1989年度","兵庫県 三木市","","***","576","331","78"
"1989年度","兵庫県 高砂市","","***","552","548","110"
"1989年度","兵庫県 川西市","","***","785","582","136"
"1989年度","兵庫県 小野市","","***","279","226","42"
"1989年度","兵庫県 三田市","","***","340","270","47"
"1989年度","兵庫県 加西市","","***","423","249","40"
"1989年度","兵庫県 篠山市","","***","444","176","30"
"1989年度","兵庫県 養父市","","***","309","124","24"
"1989年度","兵庫県 丹波市","","***","783","333","50"
"1989年度","兵庫県 南あわじ市","","***","553","286","47"
"1989年度","兵庫県 朝来市","","***","359","161","28"
"1989年度","兵庫県 淡路市","","***","582","241","33"
"1989年度","兵庫県 宍粟市","","***","475","234","34"
"1989年度","兵庫県 加東市","","***","289","199","21"
"1989年度","兵庫県 たつの市","","***","645","365","72"
"1989年度","兵庫県 猪名川町","","***","105","64","9"
"1989年度","兵庫県 多可町","","***","222","108","13"
